id,manifest,num,pages
1070185,https://www.digital.archives.go.jp/api/iiif/1070185/manifest.json,289-0019,457
5055298,https://www.digital.archives.go.jp/api/iiif/5055298/manifest.json,310-0181,321
1068144,https://www.digital.archives.go.jp/api/iiif/1068144/manifest.json,120-0007,253
1076886,https://www.digital.archives.go.jp/api/iiif/1076886/manifest.json,308-0019,238
1078434,https://www.digital.archives.go.jp/api/iiif/1078434/manifest.json,311-0191,231
4758367,https://www.digital.archives.go.jp/api/iiif/4758367/manifest.json,126-0003,221
3611310,https://www.digital.archives.go.jp/api/iiif/3611310/manifest.json,314-0042,218
5055292,https://www.digital.archives.go.jp/api/iiif/5055292/manifest.json,310-0181,212
4488002,https://www.digital.archives.go.jp/api/iiif/4488002/manifest.json,135-0011,207
4776107,https://www.digital.archives.go.jp/api/iiif/4776107/manifest.json,102-0002,205
4417724,https://www.digital.archives.go.jp/api/iiif/4417724/manifest.json,236-0010,203
4226990,https://www.digital.archives.go.jp/api/iiif/4226990/manifest.json,301-0078,201
4494930,https://www.digital.archives.go.jp/api/iiif/4494930/manifest.json,133-0001,197
3976989,https://www.digital.archives.go.jp/api/iiif/3976989/manifest.json,366-0078,194
1071599,https://www.digital.archives.go.jp/api/iiif/1071599/manifest.json,313-0096,192
3590812,https://www.digital.archives.go.jp/api/iiif/3590812/manifest.json,367-0033,191
1084764,https://www.digital.archives.go.jp/api/iiif/1084764/manifest.json,074-0007,188
1077220,https://www.digital.archives.go.jp/api/iiif/1077220/manifest.json,305-0156,186
1084017,https://www.digital.archives.go.jp/api/iiif/1084017/manifest.json,305-0116,182
5065734,https://www.digital.archives.go.jp/api/iiif/5065734/manifest.json,367-0036,182
4270247,https://www.digital.archives.go.jp/api/iiif/4270247/manifest.json,366-0089,178
5390826,https://www.digital.archives.go.jp/api/iiif/5390826/manifest.json,367-0114,177
1067714,https://www.digital.archives.go.jp/api/iiif/1067714/manifest.json,117-0018,175
5064835,https://www.digital.archives.go.jp/api/iiif/5064835/manifest.json,366-0038,174
4920287,https://www.digital.archives.go.jp/api/iiif/4920287/manifest.json,307-0163,172
1067850,https://www.digital.archives.go.jp/api/iiif/1067850/manifest.json,287-0154,171
1072173,https://www.digital.archives.go.jp/api/iiif/1072173/manifest.json,315-0032,170
4226988,https://www.digital.archives.go.jp/api/iiif/4226988/manifest.json,301-0078,169
4776135,https://www.digital.archives.go.jp/api/iiif/4776135/manifest.json,102-0002,168
3974379,https://www.digital.archives.go.jp/api/iiif/3974379/manifest.json,366-0078,168
5064838,https://www.digital.archives.go.jp/api/iiif/5064838/manifest.json,366-0038,167
4773208,https://www.digital.archives.go.jp/api/iiif/4773208/manifest.json,308-0012,166
4424835,https://www.digital.archives.go.jp/api/iiif/4424835/manifest.json,195-0004,165
4918076,https://www.digital.archives.go.jp/api/iiif/4918076/manifest.json,304-0306,165
5390239,https://www.digital.archives.go.jp/api/iiif/5390239/manifest.json,367-0046,165
4918148,https://www.digital.archives.go.jp/api/iiif/4918148/manifest.json,304-0308,164
5390251,https://www.digital.archives.go.jp/api/iiif/5390251/manifest.json,367-0046,164
1070240,https://www.digital.archives.go.jp/api/iiif/1070240/manifest.json,289-0033,163
5065602,https://www.digital.archives.go.jp/api/iiif/5065602/manifest.json,367-0009,163
4917996,https://www.digital.archives.go.jp/api/iiif/4917996/manifest.json,304-0303,162
4270251,https://www.digital.archives.go.jp/api/iiif/4270251/manifest.json,366-0089,162
5390764,https://www.digital.archives.go.jp/api/iiif/5390764/manifest.json,367-0109,161
5064839,https://www.digital.archives.go.jp/api/iiif/5064839/manifest.json,366-0038,160
4487889,https://www.digital.archives.go.jp/api/iiif/4487889/manifest.json,191-0005,159
5049274,https://www.digital.archives.go.jp/api/iiif/5049274/manifest.json,308-0119,159
5389638,https://www.digital.archives.go.jp/api/iiif/5389638/manifest.json,367-0008,159
4776128,https://www.digital.archives.go.jp/api/iiif/4776128/manifest.json,102-0002,158
4918083,https://www.digital.archives.go.jp/api/iiif/4918083/manifest.json,304-0306,158
4270244,https://www.digital.archives.go.jp/api/iiif/4270244/manifest.json,366-0089,158
4776134,https://www.digital.archives.go.jp/api/iiif/4776134/manifest.json,102-0002,157
4773261,https://www.digital.archives.go.jp/api/iiif/4773261/manifest.json,302-0024,157
5049273,https://www.digital.archives.go.jp/api/iiif/5049273/manifest.json,308-0119,157
4499506,https://www.digital.archives.go.jp/api/iiif/4499506/manifest.json,126-0002,156
1071455,https://www.digital.archives.go.jp/api/iiif/1071455/manifest.json,278-0215,156
3323131,https://www.digital.archives.go.jp/api/iiif/3323131/manifest.json,366-0081,156
4776130,https://www.digital.archives.go.jp/api/iiif/4776130/manifest.json,102-0002,155
4418864,https://www.digital.archives.go.jp/api/iiif/4418864/manifest.json,017-0005,154
4487381,https://www.digital.archives.go.jp/api/iiif/4487381/manifest.json,188-0001,154
3974378,https://www.digital.archives.go.jp/api/iiif/3974378/manifest.json,366-0078,154
5390261,https://www.digital.archives.go.jp/api/iiif/5390261/manifest.json,367-0046,154
4776114,https://www.digital.archives.go.jp/api/iiif/4776114/manifest.json,102-0002,153
4768279,https://www.digital.archives.go.jp/api/iiif/4768279/manifest.json,311-0208,153
5390619,https://www.digital.archives.go.jp/api/iiif/5390619/manifest.json,367-0079,153
4776122,https://www.digital.archives.go.jp/api/iiif/4776122/manifest.json,102-0002,152
578178,https://www.digital.archives.go.jp/api/iiif/578178/manifest.json,302-0001,152
4768551,https://www.digital.archives.go.jp/api/iiif/4768551/manifest.json,308-0215,152
5390465,https://www.digital.archives.go.jp/api/iiif/5390465/manifest.json,367-0064,152
4776129,https://www.digital.archives.go.jp/api/iiif/4776129/manifest.json,102-0002,151
1069318,https://www.digital.archives.go.jp/api/iiif/1069318/manifest.json,313-0268,151
4432614,https://www.digital.archives.go.jp/api/iiif/4432614/manifest.json,043-0009,150
4776124,https://www.digital.archives.go.jp/api/iiif/4776124/manifest.json,102-0002,150
3669753,https://www.digital.archives.go.jp/api/iiif/3669753/manifest.json,308-0074,150
3969971,https://www.digital.archives.go.jp/api/iiif/3969971/manifest.json,365-0029,150
1067557,https://www.digital.archives.go.jp/api/iiif/1067557/manifest.json,120-0009,149
4229708,https://www.digital.archives.go.jp/api/iiif/4229708/manifest.json,301-0029,149
4393223,https://www.digital.archives.go.jp/api/iiif/4393223/manifest.json,308-0014,149
3976121,https://www.digital.archives.go.jp/api/iiif/3976121/manifest.json,366-0078,149
5390776,https://www.digital.archives.go.jp/api/iiif/5390776/manifest.json,367-0109,149
4776118,https://www.digital.archives.go.jp/api/iiif/4776118/manifest.json,102-0002,148
4487382,https://www.digital.archives.go.jp/api/iiif/4487382/manifest.json,188-0001,148
4916435,https://www.digital.archives.go.jp/api/iiif/4916435/manifest.json,303-0002,148
3672085,https://www.digital.archives.go.jp/api/iiif/3672085/manifest.json,308-0015,148
3313295,https://www.digital.archives.go.jp/api/iiif/3313295/manifest.json,366-0085,148
1076511,https://www.digital.archives.go.jp/api/iiif/1076511/manifest.json,050-0017,147
4776133,https://www.digital.archives.go.jp/api/iiif/4776133/manifest.json,102-0002,147
4770422,https://www.digital.archives.go.jp/api/iiif/4770422/manifest.json,302-0010,147
4768552,https://www.digital.archives.go.jp/api/iiif/4768552/manifest.json,308-0215,147
5065481,https://www.digital.archives.go.jp/api/iiif/5065481/manifest.json,366-0083,147
4408351,https://www.digital.archives.go.jp/api/iiif/4408351/manifest.json,070-0005,146
4477973,https://www.digital.archives.go.jp/api/iiif/4477973/manifest.json,132-0005,146
4917997,https://www.digital.archives.go.jp/api/iiif/4917997/manifest.json,304-0303,146
5065471,https://www.digital.archives.go.jp/api/iiif/5065471/manifest.json,366-0083,146
3326230,https://www.digital.archives.go.jp/api/iiif/3326230/manifest.json,367-0051,146
4416689,https://www.digital.archives.go.jp/api/iiif/4416689/manifest.json,043-0009,145
4492259,https://www.digital.archives.go.jp/api/iiif/4492259/manifest.json,120-0002,145
4499504,https://www.digital.archives.go.jp/api/iiif/4499504/manifest.json,126-0002,145
1070404,https://www.digital.archives.go.jp/api/iiif/1070404/manifest.json,278-0166,145
3743912,https://www.digital.archives.go.jp/api/iiif/3743912/manifest.json,307-0088,145
3325686,https://www.digital.archives.go.jp/api/iiif/3325686/manifest.json,365-0024,145
3323114,https://www.digital.archives.go.jp/api/iiif/3323114/manifest.json,366-0081,145
5389660,https://www.digital.archives.go.jp/api/iiif/5389660/manifest.json,367-0008,145
5390355,https://www.digital.archives.go.jp/api/iiif/5390355/manifest.json,367-0048,145
4398185,https://www.digital.archives.go.jp/api/iiif/4398185/manifest.json,115-0001,144
4771106,https://www.digital.archives.go.jp/api/iiif/4771106/manifest.json,305-0019,144
1075933,https://www.digital.archives.go.jp/api/iiif/1075933/manifest.json,309-0130,144
5065597,https://www.digital.archives.go.jp/api/iiif/5065597/manifest.json,367-0009,144
4408358,https://www.digital.archives.go.jp/api/iiif/4408358/manifest.json,070-0005,143
4499500,https://www.digital.archives.go.jp/api/iiif/4499500/manifest.json,126-0002,143
3991123,https://www.digital.archives.go.jp/api/iiif/3991123/manifest.json,364-0075,143
5065349,https://www.digital.archives.go.jp/api/iiif/5065349/manifest.json,366-0080,143
5390253,https://www.digital.archives.go.jp/api/iiif/5390253/manifest.json,367-0046,143
4488003,https://www.digital.archives.go.jp/api/iiif/4488003/manifest.json,135-0011,142
4770433,https://www.digital.archives.go.jp/api/iiif/4770433/manifest.json,302-0010,142
4772789,https://www.digital.archives.go.jp/api/iiif/4772789/manifest.json,307-0124,142
3974380,https://www.digital.archives.go.jp/api/iiif/3974380/manifest.json,366-0078,142
5065589,https://www.digital.archives.go.jp/api/iiif/5065589/manifest.json,367-0009,142
1072172,https://www.digital.archives.go.jp/api/iiif/1072172/manifest.json,004-0014,141
4426775,https://www.digital.archives.go.jp/api/iiif/4426775/manifest.json,081-0002,141
4499441,https://www.digital.archives.go.jp/api/iiif/4499441/manifest.json,126-0002,141
4424844,https://www.digital.archives.go.jp/api/iiif/4424844/manifest.json,195-0004,141
578189,https://www.digital.archives.go.jp/api/iiif/578189/manifest.json,302-0001,141
3743655,https://www.digital.archives.go.jp/api/iiif/3743655/manifest.json,308-0013,141
5065475,https://www.digital.archives.go.jp/api/iiif/5065475/manifest.json,366-0083,141
5389661,https://www.digital.archives.go.jp/api/iiif/5389661/manifest.json,367-0008,141
5390779,https://www.digital.archives.go.jp/api/iiif/5390779/manifest.json,367-0110,141
4487430,https://www.digital.archives.go.jp/api/iiif/4487430/manifest.json,126-0002,140
4500863,https://www.digital.archives.go.jp/api/iiif/4500863/manifest.json,188-0001,140
4770130,https://www.digital.archives.go.jp/api/iiif/4770130/manifest.json,301-0041,140
5064765,https://www.digital.archives.go.jp/api/iiif/5064765/manifest.json,366-0027,140
3322976,https://www.digital.archives.go.jp/api/iiif/3322976/manifest.json,366-0081,140
5390243,https://www.digital.archives.go.jp/api/iiif/5390243/manifest.json,367-0046,140
1079122,https://www.digital.archives.go.jp/api/iiif/1079122/manifest.json,056-0006,139
4425857,https://www.digital.archives.go.jp/api/iiif/4425857/manifest.json,194-0012,139
4918089,https://www.digital.archives.go.jp/api/iiif/4918089/manifest.json,304-0306,139
1081998,https://www.digital.archives.go.jp/api/iiif/1081998/manifest.json,314-0124,139
3322963,https://www.digital.archives.go.jp/api/iiif/3322963/manifest.json,366-0081,139
5389654,https://www.digital.archives.go.jp/api/iiif/5389654/manifest.json,367-0008,139
4418080,https://www.digital.archives.go.jp/api/iiif/4418080/manifest.json,017-0012,138
4452454,https://www.digital.archives.go.jp/api/iiif/4452454/manifest.json,115-0001,138
4499443,https://www.digital.archives.go.jp/api/iiif/4499443/manifest.json,126-0002,138
1073881,https://www.digital.archives.go.jp/api/iiif/1073881/manifest.json,275-0081,138
3671463,https://www.digital.archives.go.jp/api/iiif/3671463/manifest.json,306-0301,138
4770865,https://www.digital.archives.go.jp/api/iiif/4770865/manifest.json,308-0026,138
5064770,https://www.digital.archives.go.jp/api/iiif/5064770/manifest.json,366-0027,138
3322645,https://www.digital.archives.go.jp/api/iiif/3322645/manifest.json,366-0081,138
4270246,https://www.digital.archives.go.jp/api/iiif/4270246/manifest.json,366-0089,138
3313464,https://www.digital.archives.go.jp/api/iiif/3313464/manifest.json,367-0085,138
4417661,https://www.digital.archives.go.jp/api/iiif/4417661/manifest.json,071-0005,137
4397150,https://www.digital.archives.go.jp/api/iiif/4397150/manifest.json,130-0001,137
4487172,https://www.digital.archives.go.jp/api/iiif/4487172/manifest.json,135-0011,137
4116394,https://www.digital.archives.go.jp/api/iiif/4116394/manifest.json,301-0029,137
1075592,https://www.digital.archives.go.jp/api/iiif/1075592/manifest.json,307-0052,137
5055360,https://www.digital.archives.go.jp/api/iiif/5055360/manifest.json,311-0049,137
4271158,https://www.digital.archives.go.jp/api/iiif/4271158/manifest.json,366-0089,137
5390267,https://www.digital.archives.go.jp/api/iiif/5390267/manifest.json,367-0046,137
4776109,https://www.digital.archives.go.jp/api/iiif/4776109/manifest.json,102-0002,136
4430480,https://www.digital.archives.go.jp/api/iiif/4430480/manifest.json,194-0020,136
4917894,https://www.digital.archives.go.jp/api/iiif/4917894/manifest.json,304-0274,136
5056844,https://www.digital.archives.go.jp/api/iiif/5056844/manifest.json,364-0071,136
5389636,https://www.digital.archives.go.jp/api/iiif/5389636/manifest.json,367-0008,136
5390248,https://www.digital.archives.go.jp/api/iiif/5390248/manifest.json,367-0046,136
4424589,https://www.digital.archives.go.jp/api/iiif/4424589/manifest.json,001-0020,135
4499512,https://www.digital.archives.go.jp/api/iiif/4499512/manifest.json,126-0002,135
4498568,https://www.digital.archives.go.jp/api/iiif/4498568/manifest.json,193-0018,135
4773298,https://www.digital.archives.go.jp/api/iiif/4773298/manifest.json,302-0029,135
4774068,https://www.digital.archives.go.jp/api/iiif/4774068/manifest.json,304-0287,135
4767682,https://www.digital.archives.go.jp/api/iiif/4767682/manifest.json,311-0201,135
5390071,https://www.digital.archives.go.jp/api/iiif/5390071/manifest.json,367-0042,135
5390772,https://www.digital.archives.go.jp/api/iiif/5390772/manifest.json,367-0109,135
4417979,https://www.digital.archives.go.jp/api/iiif/4417979/manifest.json,006-0002,134
4417720,https://www.digital.archives.go.jp/api/iiif/4417720/manifest.json,073-0015,134
4397352,https://www.digital.archives.go.jp/api/iiif/4397352/manifest.json,130-0001,134
4501478,https://www.digital.archives.go.jp/api/iiif/4501478/manifest.json,135-0011,134
4426717,https://www.digital.archives.go.jp/api/iiif/4426717/manifest.json,194-0009,134
4916181,https://www.digital.archives.go.jp/api/iiif/4916181/manifest.json,303-0001,134
4771122,https://www.digital.archives.go.jp/api/iiif/4771122/manifest.json,308-0068,134
4767683,https://www.digital.archives.go.jp/api/iiif/4767683/manifest.json,311-0201,134
5064983,https://www.digital.archives.go.jp/api/iiif/5064983/manifest.json,366-0056,134
3323127,https://www.digital.archives.go.jp/api/iiif/3323127/manifest.json,366-0081,134
5065616,https://www.digital.archives.go.jp/api/iiif/5065616/manifest.json,367-0019,134
4261768,https://www.digital.archives.go.jp/api/iiif/4261768/manifest.json,367-0050,134
4435622,https://www.digital.archives.go.jp/api/iiif/4435622/manifest.json,008-0011,133
4427612,https://www.digital.archives.go.jp/api/iiif/4427612/manifest.json,081-0002,133
4495571,https://www.digital.archives.go.jp/api/iiif/4495571/manifest.json,133-0001,133
4435423,https://www.digital.archives.go.jp/api/iiif/4435423/manifest.json,193-0013,133
4916332,https://www.digital.archives.go.jp/api/iiif/4916332/manifest.json,303-0001,133
5049296,https://www.digital.archives.go.jp/api/iiif/5049296/manifest.json,308-0123,133
1069546,https://www.digital.archives.go.jp/api/iiif/1069546/manifest.json,313-0043,133
3969970,https://www.digital.archives.go.jp/api/iiif/3969970/manifest.json,365-0029,133
5064993,https://www.digital.archives.go.jp/api/iiif/5064993/manifest.json,366-0056,133
4270255,https://www.digital.archives.go.jp/api/iiif/4270255/manifest.json,366-0089,133
3976962,https://www.digital.archives.go.jp/api/iiif/3976962/manifest.json,371-0016,133
4431370,https://www.digital.archives.go.jp/api/iiif/4431370/manifest.json,050-0005,132
4477971,https://www.digital.archives.go.jp/api/iiif/4477971/manifest.json,132-0005,132
4487579,https://www.digital.archives.go.jp/api/iiif/4487579/manifest.json,188-0001,132
4430919,https://www.digital.archives.go.jp/api/iiif/4430919/manifest.json,303-0017,132
4770875,https://www.digital.archives.go.jp/api/iiif/4770875/manifest.json,308-0026,132
5064989,https://www.digital.archives.go.jp/api/iiif/5064989/manifest.json,366-0056,132
5065468,https://www.digital.archives.go.jp/api/iiif/5065468/manifest.json,366-0083,132
4271172,https://www.digital.archives.go.jp/api/iiif/4271172/manifest.json,367-0050,132
4756766,https://www.digital.archives.go.jp/api/iiif/4756766/manifest.json,058-0002,131
4477975,https://www.digital.archives.go.jp/api/iiif/4477975/manifest.json,132-0005,131
4500929,https://www.digital.archives.go.jp/api/iiif/4500929/manifest.json,188-0001,131
4105245,https://www.digital.archives.go.jp/api/iiif/4105245/manifest.json,300-0171,131
4916226,https://www.digital.archives.go.jp/api/iiif/4916226/manifest.json,303-0001,131
4774062,https://www.digital.archives.go.jp/api/iiif/4774062/manifest.json,304-0287,131
4771174,https://www.digital.archives.go.jp/api/iiif/4771174/manifest.json,308-0072,131
5056809,https://www.digital.archives.go.jp/api/iiif/5056809/manifest.json,363-0238,131
3322975,https://www.digital.archives.go.jp/api/iiif/3322975/manifest.json,366-0081,131
4270253,https://www.digital.archives.go.jp/api/iiif/4270253/manifest.json,366-0089,131
4260792,https://www.digital.archives.go.jp/api/iiif/4260792/manifest.json,367-0050,131
5390811,https://www.digital.archives.go.jp/api/iiif/5390811/manifest.json,367-0112,131
4460566,https://www.digital.archives.go.jp/api/iiif/4460566/manifest.json,075-0001,130
